ts_iso,elapsed_s,class,kind,intent,latency_s,ok,ans_chars,err
2026-05-29T10:26:34+00:00,0.0,normal,inline_summary,"{'intent': 'receipt_expense', 'needs_vision': False, 'needs_translation': False}",9.24,1,489,
2026-05-29T10:26:41+00:00,7.1,normal,receipt_expense,"{'intent': 'receipt_expense', 'needs_vision': False, 'needs_translation': False}",5.21,1,350,
2026-05-29T10:26:44+00:00,9.4,normal,policy_question,"{'intent': 'policy_question', 'needs_vision': False, 'needs_translation': False}",4.17,1,173,
2026-05-29T10:26:46+00:00,12.3,normal,policy_question,"{'intent': 'policy_question', 'needs_vision': False, 'needs_translation': False}",3.46,1,217,
2026-05-29T10:26:48+00:00,13.5,adversarial,off_topic,"{'intent': 'plan_trip', 'needs_vision': False, 'needs_translation': False}",4.12,1,300,
2026-05-29T10:26:41+00:00,6.7,normal,plan_trip,"{'intent': 'plan_trip', 'needs_vision': False, 'needs_translation': False}",12.00,1,750,
2026-05-29T10:26:35+00:00,0.9,normal,inline_summary,"{'intent': 'plan_trip', 'needs_vision': False, 'needs_translation': False}",17.84,1,236,
2026-05-29T10:26:50+00:00,15.7,normal,inline_summary,"{'intent': 'plan_trip', 'needs_vision': False, 'needs_translation': False}",4.83,1,320,
2026-05-29T10:26:53+00:00,18.7,edge,non_english,"{'intent': 'policy_question', 'needs_vision': False, 'needs_translation': False}",5.41,1,197,
2026-05-29T10:26:52+00:00,17.7,normal,inline_summary,"{'intent': 'plan_trip', 'needs_vision': False, 'needs_translation': False}",6.58,1,492,
2026-05-29T10:26:55+00:00,20.5,normal,policy_question,"{'intent': 'policy_question', 'needs_vision': False, 'needs_translation': False}",4.31,1,335,
2026-05-29T10:27:00+00:00,26.0,adversarial,jailbreak,,0.83,0,0,BadRequestError: Error code: 400 - {'error': {'message': 'The response was filtered due to the prompt triggering Azure OpenAI’s content management policy. Please modify your prompt and retry. To learn
2026-05-29T10:26:53+00:00,18.8,normal,plan_trip,"{'intent': 'plan_trip', 'needs_vision': False, 'needs_translation': False}",8.68,1,727,
2026-05-29T10:27:05+00:00,30.4,normal,policy_question,"{'intent': 'policy_question', 'needs_vision': False, 'needs_translation': False}",4.60,1,97,
2026-05-29T10:27:09+00:00,35.0,edge,multi_intent,"{'intent': 'plan_trip', 'needs_vision': False, 'needs_translation': False}",4.94,1,556,
2026-05-29T10:27:14+00:00,39.9,edge,typos,"{'intent': 'policy_question', 'needs_vision': False, 'needs_translation': False}",4.68,1,406,
2026-05-29T10:27:19+00:00,44.6,normal,policy_question,"{'intent': 'receipt_expense', 'needs_vision': False, 'needs_translation': False}",3.51,1,281,
2026-05-29T10:27:00+00:00,25.4,edge,policy_question_long,"{'intent': 'policy_question', 'needs_vision': False, 'needs_translation': False}",23.55,1,5121,
2026-05-29T10:27:23+00:00,49.0,edge,typos,"{'intent': 'policy_question', 'needs_vision': False, 'needs_translation': False}",4.92,1,312,
2026-05-29T10:27:22+00:00,48.1,normal,plan_trip,"{'intent': 'plan_trip', 'needs_vision': False, 'needs_translation': False}",7.25,1,602,
2026-05-29T10:27:01+00:00,26.8,normal,policy_question,"{'intent': 'policy_question', 'needs_vision': False, 'needs_translation': False}",30.91,1,131,
2026-05-29T10:27:28+00:00,53.9,normal,receipt_expense,"{'intent': 'receipt_expense', 'needs_vision': False, 'needs_translation': False}",6.05,1,571,
2026-05-29T10:27:32+00:00,57.7,normal,policy_question,"{'intent': 'policy_question', 'needs_vision': False, 'needs_translation': False}",3.97,1,379,
2026-05-29T10:27:36+00:00,61.7,edge,non_english,"{'intent': 'policy_question', 'needs_vision': False, 'needs_translation': False}",6.31,1,354,
2026-05-29T10:27:42+00:00,68.0,adversarial,prompt_injection,,0.88,0,0,BadRequestError: Error code: 400 - {'error': {'message': 'The response was filtered due to the prompt triggering Azure OpenAI’s content management policy. Please modify your prompt and retry. To learn
2026-05-29T10:27:30+00:00,55.4,normal,policy_question,"{'intent': 'policy_question', 'needs_vision': False, 'needs_translation': False}",15.35,1,81,
2026-05-29T10:27:34+00:00,59.9,normal,plan_trip,"{'intent': 'plan_trip', 'needs_vision': False, 'needs_translation': False}",11.13,1,1294,
2026-05-29T10:27:43+00:00,68.9,normal,policy_question,"{'intent': 'policy_question', 'needs_vision': False, 'needs_translation': False}",4.90,1,369,
2026-05-29T10:27:45+00:00,70.7,normal,policy_question,"{'intent': 'policy_question', 'needs_vision': False, 'needs_translation': False}",4.32,1,219,
2026-05-29T10:27:45+00:00,71.1,normal,plan_trip,"{'intent': 'plan_trip', 'needs_vision': False, 'needs_translation': False}",11.25,1,1079,
2026-05-29T10:26:58+00:00,24.1,normal,plan_trip,"{'intent': 'plan_trip', 'needs_vision': False, 'needs_translation': False}",73.01,1,0,
2026-05-29T10:27:49+00:00,75.0,normal,plan_trip,"{'intent': 'plan_trip', 'needs_vision': False, 'needs_translation': False}",23.36,1,840,
2026-05-29T10:27:48+00:00,73.8,edge,plan_trip_long,"{'intent': 'plan_trip', 'needs_vision': False, 'needs_translation': False}",25.06,1,3776,
